"year","watershed","mean_height","median_height","sd_height","n"
2003,"Reference",80.985,79.85,13.9392297509733,120
2003,"W1",87.8858333333333,86.15,14.3423349120111,120
2004,"Reference",85.8813559322034,85,15.5863387859509,59
2004,"W1",97.5166666666667,95.5,13.8300724493692,60
